date,year,month,year_month,orders,customers,revenue,est_cogs,est_payment_fees,contribution_margin,spend,mer,cm_roas,blended_cac_per_order
2017-08-16 00:00:00,2017,8,2017-08,170,170,25070.70999999998,10824.8665,727.05059,13518.79291,3111.22,8.058160464383741,4.345174211402601,18.301294117647057
2017-08-17 00:00:00,2017,8,2017-08,155,155,21737.94999999998,9558.237299999995,630.4005500000003,11549.312149999996,3061.2499999999995,7.10100449162923,3.7727438628011427,19.749999999999996
2017-08-18 00:00:00,2017,8,2017-08,146,146,20025.870000000003,8643.473699999993,580.7502300000002,10801.64607,2824.3,7.090560492865489,3.824539202634281,19.34452054794521
2017-08-19 00:00:00,2017,8,2017-08,107,107,15086.02000000001,6586.082199999997,437.49458000000016,8062.443220000001,2317.92,6.508429971698768,3.4783095275074207,21.66280373831776
2017-08-20 00:00:00,2017,8,2017-08,103,103,14955.170000000004,6343.050499999998,433.69993,8178.419570000001,2552.0699999999997,5.86001559518352,3.2046219617800458,24.777378640776696
2017-08-21 00:00:00,2017,8,2017-08,177,177,26019.72,11434.263900000004,754.5718799999999,13830.88422,2706.66,9.613220722218529,5.10994517966793,15.291864406779661
2017-08-22 00:00:00,2017,8,2017-08,136,136,19749.469999999998,8302.055900000001,572.7346300000003,10874.679469999995,2879.6699999999996,6.858240701191456,3.7763630797973367,21.174044117647057
2017-08-23 00:00:00,2017,8,2017-08,111,111,18593.789999999994,8376.175399999991,539.2199100000001,9678.394690000003,2795.64,6.65099583637378,3.461960298893993,25.185945945945946
2017-08-24 00:00:00,2017,8,2017-08,126,126,16094.410000000009,6735.405699999998,466.73789000000016,8892.266409999998,3269.99,4.92185297202744,2.719355842066795,25.952301587301587
2017-08-25 00:00:00,2017,8,2017-08,121,121,17277.280000000002,7729.571399999997,501.04112000000003,9046.667480000007,2816.14,6.135092715561017,3.212435276655283,23.27388429752066
2017-08-26 00:00:00,2017,8,2017-08,93,93,12054.650000000007,5223.326199999997,349.58484999999985,6481.738949999999,2367.5699999999997,5.091570682176243,2.737717976659613,25.457741935483867
2017-08-27 00:00:00,2017,8,2017-08,118,118,16295.45,6816.940799999995,472.56805,9005.941149999997,2351.89,6.928661629583017,3.829235699798884,19.93127118644068
2017-08-28 00:00:00,2017,8,2017-08,154,154,25497.07,11207.947300000009,739.4150300000002,13549.70767,3202.1,7.962608912900909,4.231506720589613,20.79285714285714
2017-08-29 00:00:00,2017,8,2017-08,137,137,37025.69999999998,17004.305400000005,1073.7452999999998,18947.64929999999,3126.07,11.844168556686185,6.061172430559773,22.818029197080293
2017-08-30 00:00:00,2017,8,2017-08,177,177,34874.829999999994,15701.458800000019,1011.3700699999993,18162.00113000001,2929.4799999999996,11.90478514958286,6.199735492305806,16.550734463276832
2017-08-31 00:00:00,2017,8,2017-08,148,148,23694.97999999997,10555.737000000012,687.15442,12452.08858,3026.39,7.829453573399321,4.114502288204759,20.44858108108108
2017-09-01 00:00:00,2017,9,2017-09,157,157,32421.93999999998,14486.810500000014,940.23626,16994.89323999999,3117.0299999999997,10.401548910340928,5.452271309547868,19.853694267515923
2017-09-02 00:00:00,2017,9,2017-09,104,104,20479.179999999986,9181.0923,593.8962200000002,10704.191480000001,2517.05,8.136183230368879,4.252673359686935,24.20240384615385
2017-09-03 00:00:00,2017,9,2017-09,124,124,30887.450000000023,14000.030300000008,895.7360500000001,15991.68365,2344.1899999999996,13.17617172669452,6.821837671007898,18.904758064516127
2017-09-04 00:00:00,2017,9,2017-09,148,148,28385.22,12576.502500000011,823.1713799999999,14985.546119999997,3002.7,9.453232091117995,4.990690418623238,20.28851351351351
2017-09-05 00:00:00,2017,9,2017-09,154,154,24528.95999999999,10880.308700000007,711.3398399999999,12937.311459999992,2824.73,8.683647640659457,4.580017014015496,18.342402597402597
2017-09-06 00:00:00,2017,9,2017-09,139,139,28304.190000000006,12961.724800000005,820.8215100000001,14521.64369,3029.7400000000002,9.34211846561091,4.793032963224567,21.796690647482016
2017-09-07 00:00:00,2017,9,2017-09,97,97,19096.760000000002,8502.921799999995,553.80604,10040.032159999995,3135.6400000000003,6.090227194448342,3.2019084333660732,32.32618556701031
2017-09-08 00:00:00,2017,9,2017-09,114,114,14195.960000000001,5902.741299999996,411.68283999999994,7881.535860000001,2862.01,4.960136407629603,2.753846373702398,25.105350877192983
2017-09-09 00:00:00,2017,9,2017-09,106,106,17681.219999999994,7617.063299999994,512.7553800000001,9551.40132,2165.7400000000002,8.164054780352208,4.41022529020104,20.431509433962265
2017-09-10 00:00:00,2017,9,2017-09,134,134,20702.759999999995,9106.026599999996,600.3800399999998,10996.353360000006,2360.53,8.770386311548675,4.658425590863072,17.615895522388062
2017-09-11 00:00:00,2017,9,2017-09,177,177,26916.45000000001,11768.334400000003,780.5770500000001,14367.53854999999,2942.7400000000002,9.146730598014098,4.8823676403623795,16.625649717514126
2017-09-12 00:00:00,2017,9,2017-09,203,203,32097.229999999956,14087.1076,930.819669999999,17079.30273,2976.7099999999996,10.782787036694861,5.737644154116458,14.6635960591133
2017-09-13 00:00:00,2017,9,2017-09,204,204,31601.199999999964,13942.035000000002,916.4347999999994,16742.730199999995,3219.67,9.815043156596783,5.200138585631445,15.782696078431373
2017-09-14 00:00:00,2017,9,2017-09,166,166,26502.50999999999,11447.782499999994,768.5727899999995,14286.154710000006,3189.7,8.308778255008306,4.478839611875727,19.215060240963854
2017-09-15 00:00:00,2017,9,2017-09,148,148,21359.520000000004,9423.227600000006,619.4260800000004,11316.86632,2959.17,7.218078042153714,3.824338013699787,19.994391891891894
2017-09-16 00:00:00,2017,9,2017-09,127,127,23548.279999999995,10485.583800000008,682.9001199999997,12379.79607999999,2480.29,9.494163988888394,4.991269601538526,19.52984251968504
2017-09-17 00:00:00,2017,9,2017-09,125,125,22826.039999999997,10010.257700000004,661.9551600000002,12153.82714,2182.1,10.460583841253838,5.569784675312772,17.456799999999998
2017-09-18 00:00:00,2017,9,2017-09,183,183,32535.229999999974,14693.099600000003,943.5216700000005,16898.60873,2935.15,11.084690731308442,5.757323724511524,16.039071038251368
2017-09-19 00:00:00,2017,9,2017-09,153,153,23425.659999999985,10576.493000000006,679.3441399999997,12169.822860000006,2790.87,8.393676523807983,4.360583925442606,18.24098039215686
2017-09-20 00:00:00,2017,9,2017-09,161,161,26067.869999999977,11342.277600000009,755.9682299999998,13969.624169999996,2986.63,8.72818862731573,4.677386944482576,18.55049689440994
2017-09-21 00:00:00,2017,9,2017-09,150,150,22458.18999999999,9566.404300000004,651.2875099999995,12240.498190000004,2795.1699999999996,8.034641900134874,4.37916054837452,18.634466666666665
2017-09-22 00:00:00,2017,9,2017-09,135,135,18514.179999999993,8033.638499999996,536.9112200000003,9943.630280000001,3122.27,5.929717801471363,3.184743881855189,23.127925925925926
2017-09-23 00:00:00,2017,9,2017-09,84,84,12191.12,5214.8857999999955,353.54248000000007,6622.691720000001,2310.0199999999995,5.277495432939976,2.8669412905515976,27.50023809523809
2017-09-24 00:00:00,2017,9,2017-09,112,112,15371.219999999998,6489.144999999998,445.7653799999999,8436.309619999998,2425.9800000000005,6.3360868597432765,3.4774852307108866,21.660535714285718
2017-09-25 00:00:00,2017,9,2017-09,132,132,20839.709999999985,9082.540000000005,604.3515899999993,11152.818409999989,2897.42,7.192505746491701,3.849223933706535,21.950151515151514
2017-09-26 00:00:00,2017,9,2017-09,179,179,25241.669999999984,11016.859100000007,732.0084300000004,13492.802470000002,3212.11,7.8582831845733745,4.200604110693594,17.944748603351957
2017-09-27 00:00:00,2017,9,2017-09,144,144,24083.229999999996,10601.8759,698.4136699999998,12782.940429999999,2842.11,8.47371495121582,4.49769376625113,19.736875
2017-09-28 00:00:00,2017,9,2017-09,142,142,26349.099999999988,11611.927500000009,764.1239000000005,13973.048599999995,2997.0099999999998,8.791795823170423,4.662329655223037,21.10570422535211
2017-09-29 00:00:00,2017,9,2017-09,116,116,33703.999999999985,15648.129600000024,977.4159999999998,17078.454400000006,3394.76,9.928242349974662,5.030828217605959,29.265172413793106
2017-09-30 00:00:00,2017,9,2017-09,109,109,14879.169999999995,6447.7365999999965,431.49592999999993,7999.93747,2237.0899999999997,6.6511271339105695,3.576046323572141,20.523761467889905
2017-10-01 00:00:00,2017,10,2017-10,126,126,21471.55000000001,9309.5667,622.6749499999995,11539.308350000001,2457.85,8.735907398742809,4.694878999938972,19.50674603174603
2017-10-02 00:00:00,2017,10,2017-10,142,142,25178.3,11059.596200000004,730.1706999999997,13388.533100000008,3084.34,8.163269937814897,4.340809735632261,21.720704225352115
2017-10-03 00:00:00,2017,10,2017-10,198,198,30389.119999999977,13191.851900000007,881.2844799999997,16315.983619999992,3239.91,9.379618569651619,5.035937300727487,16.36318181818182
2017-10-04 00:00:00,2017,10,2017-10,157,157,24787.580000000013,10995.555600000002,718.8398199999999,13073.184579999994,3120.1299999999997,7.9444061625637445,4.189948681625443,19.873439490445858
2017-10-05 00:00:00,2017,10,2017-10,139,139,28815.439999999988,12905.9152,835.6477600000001,15073.877039999983,2744.5,10.499340499180175,5.492394621971209,19.744604316546763
2017-10-06 00:00:00,2017,10,2017-10,125,125,19924.420000000002,8535.023199999998,577.8081800000001,10811.588619999999,3045.72,6.541776657079444,3.5497644629184557,24.365759999999998
2017-10-07 00:00:00,2017,10,2017-10,102,102,17422.63,7915.843799999994,505.2562700000003,9001.529929999995,2379.0499999999997,7.323355961413171,3.783665719509887,23.324019607843134
2017-10-08 00:00:00,2017,10,2017-10,124,124,19424.090000000004,8344.311799999996,563.2986099999998,10516.47959,2219.97,8.749708329391842,4.737216984914212,17.90298387096774
2017-10-09 00:00:00,2017,10,2017-10,189,189,33750.99999999999,14826.605100000015,978.779,17945.615899999986,3199.98,10.547253420333874,5.608040019000114,16.93111111111111
2017-10-10 00:00:00,2017,10,2017-10,178,178,31753.459999999995,14204.98530000002,920.8503400000003,16627.624359999994,3303.52,9.612007797743011,5.033305189615923,18.559101123595507
2017-10-11 00:00:00,2017,10,2017-10,156,156,25916.38999999999,11777.17370000002,751.5753100000003,13387.640990000002,3009.22,8.612328111603668,4.448874123527028,19.289871794871793
2017-10-12 00:00:00,2017,10,2017-10,138,138,22111.290000000005,9404.910500000004,641.2274100000003,12065.152089999996,2969.9800000000005,7.444928922080284,4.062368127058092,21.521594202898555
2017-10-13 00:00:00,2017,10,2017-10,151,151,26406.69999999997,11773.943000000007,765.7943,13866.962699999985,3321.64,7.949898243036564,4.174733776086507,21.997615894039733
2017-10-14 00:00:00,2017,10,2017-10,115,115,16131.480000000003,7032.368599999999,467.8129200000001,8631.29848,2235.1499999999996,7.217180055029867,3.8616193454578,19.436086956521734
2017-10-15 00:00:00,2017,10,2017-10,120,120,21299.14999999999,9770.913900000009,617.6753499999995,10910.56075000001,2263.19,9.411118819012097,4.820877058488244,18.859916666666667
2017-10-16 00:00:00,2017,10,2017-10,194,194,35110.65999999998,15513.685600000008,1018.2091399999998,18578.765259999993,2872.84,12.221585608665983,6.467037934587374,14.808453608247424
2017-10-17 00:00:00,2017,10,2017-10,197,197,34756.269999999975,15232.037400000017,1007.9318299999991,18516.300770000005,3211.0899999999997,10.823823063196603,5.766359949425275,16.29994923857868
2017-10-18 00:00:00,2017,10,2017-10,176,176,31501.880000000012,13970.929700000013,913.5545200000004,16617.39577999999,3130.18,10.06391964679348,5.308766837689843,17.785113636363636
2017-10-19 00:00:00,2017,10,2017-10,175,175,26909.609999999997,11789.871200000001,780.37869,14339.36011,3092.24,8.702303184746333,4.637208014255038,17.669942857142857
2017-10-20 00:00:00,2017,10,2017-10,119,119,21471.399999999994,9318.184499999998,622.6706000000001,11530.544899999999,3210.1299999999997,6.688638777868808,3.5919245949540985,26.975882352941174
2017-10-21 00:00:00,2017,10,2017-10,108,108,17101.819999999996,7331.797399999999,495.95277999999985,9274.069820000004,2267.1299999999997,7.543378632897098,4.090665211081855,20.991944444444442
2017-10-22 00:00:00,2017,10,2017-10,156,156,23171.489999999994,10130.416100000006,671.9732100000003,12369.10069,2194.58,10.558507778253695,5.636204052711681,14.067820512820512
2017-10-23 00:00:00,2017,10,2017-10,157,157,25684.98,11365.867100000007,744.8644199999997,13574.248480000004,2988.04,8.595929104028059,4.542860363315084,19.032101910828025
2017-10-24 00:00:00,2017,10,2017-10,163,163,25711.58999999999,11470.243500000006,745.6361100000007,13495.710390000004,3178.8500000000004,8.0883306856253,4.245469396165281,19.502147239263806
2017-10-25 00:00:00,2017,10,2017-10,154,154,20731.59000000002,8883.532399999995,601.2161100000004,11246.841489999997,3314.21,6.255364023402264,3.3935210774211644,21.520844155844156
2017-10-26 00:00:00,2017,10,2017-10,142,142,25578.339999999986,11004.284000000005,741.7718599999997,13832.284139999994,3054.03,8.375274637118817,4.529190656280388,21.507253521126763
2017-10-27 00:00:00,2017,10,2017-10,131,131,23158.060000000005,10689.356099999997,671.5837399999997,11797.120160000002,2999.17,7.721489612126023,3.9334616443882813,22.894427480916033
2017-10-28 00:00:00,2017,10,2017-10,86,86,18922.479999999992,8369.804199999999,548.75192,10003.92388,2209.6,8.563758146270816,4.527481842867488,25.69302325581395
